,City,Country,Max Temp,Lat,Lng,Hotel Name
279,Padang,ID,76.62,-0.9492,100.3543,Mercure Padang
282,Hambantota,LK,78.89,6.1241,81.1185,Bungalow 63
283,Xudat,AZ,82.38,41.631,48.681,
284,Kieta,PG,77.67,-6.2167,155.6333,Uruna Bay Retreat
286,Sao Filipe,CV,75.69,14.8961,-24.4956,Hotel Xaguate
289,Kirakira,SB,78.91,-10.4544,161.9205,SanBiz Lodge
291,Pacific Grove,US,82.24,36.6177,-121.9166,Lovers Point Inn
294,Lorengau,PG,80.1,-2.0226,147.2712,Lorengau Harbourside Hotel
295,Komsomolskiy,UZ,81.32,40.4272,71.7189,Ikathouse
301,Atlantic City,US,89.19,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
305,North Bend,US,83.25,43.4065,-124.2243,Red Lion Hotel Coos Bay
306,Nago,JP,84.63,26.5881,127.9761,Hotel Yugaf Inn Okinawa
309,Tautira,PF,75.07,-17.7333,-149.15,Pension Oaoa
312,Mahibadhoo,MV,82.44,3.7833,72.9667,Omadhoo Inn
313,Praia Da Vitoria,PT,75.76,38.7333,-27.0667,Hotel Branco I
315,Margate,GB,80.11,51.3813,1.3862,Premier Inn Margate hotel
318,Taft,IR,82.35,31.7471,54.2088,عمارت ساعتی تفت
323,Bardiyah,LY,78.91,31.7561,25.0865,بورتو بردية
328,Guatire,VE,79.57,10.4762,-66.5427,Parque Residencial Canaima I
332,Tuy Hoa,VN,80.33,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
333,Thompson,CA,83.61,55.7435,-97.8558,Burntwood Hotel
338,San Policarpo,PH,80.15,12.1791,125.5072,Agapita M. Nicart
339,Issoire,FR,85.26,45.55,3.25,ACE Hôtel Issoire
346,Ahuimanu,US,83.91,21.4447,-157.8378,Paradise Bay Resort
349,Flagstaff,US,89.6,35.1981,-111.6513,Drury Inn & Suites Flagstaff
351,Fonte Boa,BR,82.6,-2.4959,-66.2662,
355,Nieuw Amsterdam,SR,86.16,5.8833,-55.0833,Hotel Stardust
356,Saint-Augustin,CA,76.95,51.226,-58.6502,
362,Matagami,CA,80.78,49.7502,-77.6328,Motel Le Caribou
364,Goure,NE,82.02,13.9835,10.2704,
366,Guerrero Negro,MX,83.39,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
371,Patiya,BD,77.29,22.2931,91.9762,Sorry
372,Vila Velha,BR,76.95,-20.3297,-40.2925,Hotel Vitória Palace
373,Yenagoa,NG,75.31,4.9247,6.2642,Aridolf Resort Wellness and Spa
377,Rurrenabaque,BO,85.44,-14.4413,-67.5278,Casa de Campo
378,Basco,PH,84.99,20.4487,121.9702,Nathaniel's Lodge
381,Ugoofaaru,MV,81.48,5.6667,73.0,Ungoofaaru Inn
383,Mountain Home,US,85.48,43.133,-115.6912,Mountain Home Inn
385,Abomsa,ET,77.18,9.9833,39.9833,
386,Nabire,ID,75.31,-3.3667,135.4833,Hotel Nusantara I
387,Kinablangan,PH,76.39,7.6947,126.5503,Morales Eatery and Lodging House
392,Hefei,CN,77.47,31.8639,117.2808,Jinhuan Hotel
396,Sioux Lookout,CA,86.83,50.1001,-91.917,Knobby's Fly-In Camps
401,Misratah,LY,81.79,32.3754,15.0925,Almasa Hotel
402,Bamora,IN,82.58,24.0552,78.0909,Golu Hotel
404,Huntsville,US,83.55,34.7304,-86.5861,Embassy Suites by Hilton Huntsville
405,Shelburne,CA,78.24,44.0787,-80.2041,The Retreat at the Farm
408,Iquitos,PE,80.64,-3.7481,-73.2472,Cortez Malaga Techy Caroly
410,Asyut,EG,89.02,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
412,Palu,ID,75.0,-0.8917,119.8707,Hotel Santika Palu
413,Shingu,JP,79.23,33.7333,135.9833,Shingu UI Hotel
417,Victoria,HK,86.38,22.2855,114.1577,Mini Central
423,Tucurui,BR,87.17,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
424,San Carlos,VE,80.65,9.6612,-68.5827,Hotel Paternopoli
431,Navrongo,GH,78.1,10.8956,-1.0921,Azakka Hotel
432,Sur,OM,85.6,22.5667,59.5289,Sur Plaza Hotel
434,Samarai,PG,79.48,-10.6167,150.6667,Nuli Sapi
437,Marabba,SD,78.08,12.35,32.1833,
439,Cam Ranh,VN,80.56,11.9214,109.1591,OYO 598 Peony Hotel
440,Natal,BR,75.85,-5.795,-35.2094,Villa Park Hotel | Natal
441,Mao,ES,81.16,39.8885,4.2658,ARTIEM Capri
442,Phonhong,LA,79.11,18.5007,102.4166,Manyvong Guest House
443,Baracoa,CU,85.5,20.3467,-74.4958,Hostal Rio Miel
446,Jutai,BR,83.89,-5.1833,-68.9,
450,Itoman,JP,84.58,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
453,San Cristobal,VE,77.18,7.7669,-72.225,Pirineos
454,Herat,AF,85.3,34.5,62.0,
456,Salalah,OM,77.09,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
458,Palmer,US,75.85,42.1584,-72.3287,Wedgewood Motel
459,Nagapattinam,IN,82.11,10.7667,79.8333,Sathya Lodge
464,Muncie,US,84.13,40.1934,-85.3864,Best Western Muncie
467,Mecca,SA,89.87,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
468,Manokwari,ID,78.1,-0.8667,134.0833,Swiss Belhotel Manokwari
470,Coos Bay,US,83.32,43.3665,-124.2179,Best Western Holiday Hotel
474,Balaipungut,ID,75.63,1.05,101.2833,
478,Montego Bay,JM,87.6,18.4712,-77.9188,Sunscape Splash Montego Bay
479,Kaka,TM,89.73,37.3482,59.6143,
480,Alofi,NU,75.09,-19.0595,-169.9187,Taloa Heights
481,Makakilo City,US,82.72,21.3469,-158.0858,Marriott's Ko Olina Beach Club
485,Akyab,MM,81.7,20.15,92.9,Hotel Memory
486,Duobao,CN,77.52,30.67,112.6895,Yongsheng Hotel
491,Cabra,ES,89.65,37.4725,-4.4421,MS Fuente Las Piedras
494,Port Blair,IN,81.23,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
496,Santa Rosa,PH,79.09,14.3122,121.1114,Erlyn’s Sta Rosa City Home
498,Santa Rita Do Sapucai,BR,76.48,-22.2522,-45.7033,Carlito's Hostel
500,Pirapora,BR,84.06,-17.345,-44.9419,Santos Palace Hotel
501,Bac Lieu,VN,79.52,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
503,Denpasar,ID,78.46,-8.65,115.2167,OYO 3156 Hotel Warta 2
504,Manta,EC,76.78,-0.95,-80.7333,Balandra Hotel
505,Mabaruma,GY,80.53,8.2,-59.7833,Monty Brooms Guest House
507,Waycross,US,88.05,31.2136,-82.354,Super 8 by Wyndham Waycross GA
509,Lalmohan,BD,83.25,22.3384,90.7419,Arifur Rahman Miraj
511,Papar,MY,78.8,5.7333,115.9333,Koposizon Homestay
512,Buala,SB,79.97,-8.145,159.5921,Maringe Lagoon Lodge
515,Emba,KZ,89.98,48.8264,58.1442,
517,Maiduguri,NG,82.49,11.8464,13.1603,Kagel Mari Police Station
518,Tevaitoa,PF,76.46,-16.7833,-151.5,Hôtel Raiatea Lodge
521,Aitape,PG,75.76,-3.1374,142.3475,
522,Lamu,KE,75.42,-2.2717,40.902,Lamu House
523,Roma,US,78.08,43.2128,-75.4557,Wingate By Wyndham Rome
525,Brighton,GB,84.16,50.8284,-0.1395,"Holiday Inn Brighton - Seafront, an IHG Hotel"
526,Minturno,IT,80.29,41.2576,13.7237,The Baron Hotel
527,Ibra,OM,81.28,22.6906,58.5334,مزرعة راحة النفوس المنزفة
529,Porto Novo,BJ,75.42,6.4965,2.6036,Tour Eiffel Hotel Benin
530,Sinnamary,GF,81.5,5.3833,-52.95,ALETHEIA Appartement Sinnamary
532,San Pedro,PH,79.32,14.35,121.0167,Palines Apartment and Guesthouse
534,Puerto Escondido,MX,88.63,15.85,-97.0667,Aldea del Bazar Hotel and Spa
538,Santa Isabel Do Rio Negro,BR,82.62,-0.4139,-65.0192,Hotel GSA
542,Hirara,JP,84.45,24.8,125.2833,Hotel Atoll Emerald Miyakojima
546,Acapulco,MX,87.62,16.8634,-99.8901,HS Hotsson Smart Acapulco
548,Hasaki,JP,77.4,35.7333,140.8333,Inubosaki Kanko Hotel
549,Praya,CV,77.54,14.9215,-23.5087,LT Aparthotel
552,Touros,BR,78.13,-5.1989,-35.4608,INN NEW HORIZON
553,Warrington,GB,89.71,53.3925,-2.5802,Villaggio Hotel
555,Portland,US,76.05,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
557,Pyay,MM,78.64,18.8167,95.2167,Shwe Pyi Thar
559,Bandarbeyla,SO,76.24,9.4942,50.8122,JABIR HOTEL
561,Andros,GR,75.76,37.8333,24.9333,Micra Anglia Hotel - Andros
569,Salisbury,GB,82.69,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
574,Barcelona,ES,83.84,41.3888,2.159,Axel Hotel Barcelona
576,Sola,VU,80.89,-13.8833,167.55,Leumerus Bungalows
577,La Ronge,CA,84.42,55.1001,-105.2842,Northland Motor Hotel
586,Aloleng,PH,80.65,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
587,Ewa Beach,US,84.15,21.3156,-158.0072,Base Lodging
588,Matara,LK,79.23,5.9485,80.5353,Amaloh Boutique Resort
589,Santo Antonio Do Ica,BR,85.89,-3.1022,-67.9397,HOTEL AMAZON WAY
593,Mitsamiouli,KM,75.99,-11.3847,43.2844,Foyer ADM
